Period,UNI,Status,JobType,Price (tax not included),Pricewithtax,Date,Time,Notes,Employee UNI,Paid/Unpaid,
kir2108_3D_CHUNK_01_final.pdf,kir2108,Completed,Heavyweight Bond,$12.00 ,13.07,8-Jul,10:00 AM,24x18,lmw2163,Paid,
kir2108_B1_a_sm.pdf,kir2108,Completed,Heavyweight Bond,$12.00 ,13.07,8-Jul,10:00 AM,,lmw2163,Paid,
kir2108_B2_Spatial Journal_sm.pdf,kir2108,Completed,Heavyweight Bond,$12.00 ,13.07,8-Jul,10:00 AM,,lmw2163,Paid,
kir2108_B3_3DCHUNK_01.pdf; kir2108_B4_3DCHUNK_02.pdf ,kir2108,Completed,Heavyweight Bond,$18.00 ,19.6,8-Jul,10:00 AM,,lmw2163,Paid,
kir2108_B6_Mixing Board_over.pdf,kir2108,Completed,Mylar,$18.00 ,19.6,8-Jul,10:00 AM,,lmw2163,Paid,
kir2108_B5_Urban Sample.pdf,kir2108,Completed,Heavyweight Bond,$12.00 ,13.07,8-Jul,10:00 AM,,lmw2163,Paid,
Board 3_rmm2219.ai; Board 4_rmm2219.pdf ,rmm2219,Completed,Heavyweight Bond,$24.00 ,26.13,8-Jul,10:00 AM,rotated incorrectly,lmw2163,Paid,
tf2333_board2.jpg,tf2333,Completed,Heavyweight Bond,$18.00 ,19.6,8-Jul,10:00 AM,rotated incorrectly,lmw2163,Paid,
kir2108_B6_Mixing Board_under.pdf,kir2108,Completed,Heavyweight Bond,$12.00 ,13.07,8-Jul,10:00 AM,,lmw2163,Paid,
sl3615 SeoHyunLee _midterm PANEL2.jpg,sl3615,Completed,Heavyweight Bond,$30.00 ,32.66,8-Jul,10:00 AM,36x60,lmw2163,Paid,
jh3417_midterm.pdf,jh3417,Completed,Heavyweight Bond,$60.00 ,65.33,8-Jul,10:22 AM,36x24 (x5),lmw2163,Paid,
lj2326_midterm.pdf,lj2326,Completed,Heavyweight Bond,$60.00 ,65.33,8-Jul,10:45 AM,24x36 (x5),lmw2163,Paid,
gk2391.ai,gk2391,Completed,Heavyweight Bond,$12.00 ,13.07,8-Jul,10:55 AM,18x24,lmw2163,Unpaid,
cjb2199_Energy_of_Movement.pdf,cjb2199,Completed,Lightweight Bond,$4.00 ,4.36,8-Jul,11:06 AM,11x17,lmw2163,Paid,
cjb2199_TreeMap.pdf,cjb2199,Completed,Lightweight Bond,$4.00 ,4.36,8-Jul,11:06 AM,11x17,lmw2163,Paid,
zh2205_mid-term.pdf,zh2205,Completed,Lightweight Bond,$16.00 ,17.42,8-Jul,11:16 AM,24x36 (x2),lmw2163,Paid,
wz2265-ps&reference.jpg,wz2265,Completed,Lightweight Bond,$12.00 ,13.07,8-Jul,11:23 AM,22x34 rotated incorrectly,lmw2163,Paid,
midterm full_dm2995.pdf,dm2995,Completed,Heavyweight Bond,$60.00 ,65.33,8-Jul,11:34 AM,36x110,lmw2163,Paid,
zh2205_mid-term_1.pdf,zh2205,Completed,Lightweight Bond,$16.00 ,17.42,8-Jul,11:53 AM,24x26 (x2),lmw2163,Paid,
yw2566.pdf,yw2566,Completed,Heavyweight Bond,$36.00 ,39.2,8-Jul,12:10 PM,36x24 (x3),lmw2163,Paid,
iu2145_001.pdf; _002.pdf; _003.pdf; _004.pdf; _005.pdf,iu2145,Completed,Mylar,$90.00 ,97.99,8-Jul,12:20 PM,34x22 (x5),lmw2163,Paid,
kdk2126_DANNY_combined.pdf,kdk2126,Completed,"Satin ""Semi"" Gloss",$36.00 ,39.2,8-Jul,12:26 PM,36x48,lmw2163,Paid,
yx2243_midreview _2.pdf,yx2243,Completed,Heavyweight Bond,$12.00 ,13.07,8-Jul,12:30 PM,36x24,lmw2163,Paid,
cjb2199_TREEandENERGY.pdf,cjb2199,Completed,Heavyweight Bond,$18.00 ,19.6,8-Jul,12:36 PM,11x36 rotated incorrectly,lmw2163,Paid,
ns2950_pinup 4.pdf,ns2950,Completed,Heavyweight Bond,$48.00 ,52.26,8-Jul,12:47 PM,34x88,lmw2163,Paid,
gk2391.psd,gk2391,Completed,Heavyweight Bond,$12.00 ,13.07,8-Jul,,36x24,lmw2163,Paid,
gk2391.ai,gk2391,Completed,Heavyweight Bond,$12.00 ,13.07,8-Jul,,36x24,lmw2163,Paid,
gk2391.psd,gk2391,Completed,Heavyweight Bond,$12.00 ,13.07,8-Jul,,36x24,lmw2163,Paid,
Board 1_rmm2219.ai,rmm2219,Completed,Mylar,$18.00 ,19.6,8-Jul,1:02 PM,18x24,lmw2163,Paid,
nt2379 three11x17 case study2.pdf,nt2379,Completed,Mylar,$18.00 ,19.6,8-Jul,,13x19,lmw2163,Paid,
yx2243_midreview _3.pdf,yx2243,Completed,Heavyweight Bond,$12.00 ,13.07,8-Jul,,36x24,lmw2163,Paid,"next time please remove paper from one side of acrylic, thanks! "
nl2461 - final drawing1; 2; 3; 4; 5,nl2461,Completed,Heavyweight Bond,$42.00 ,45.73,8-Jul,,11x17 (x5) rotated incorrectly,lmw2163,Paid,
sv2416_FINAL.pdf,sv2416,Completed,Heavyweight Bond,$48.00 ,52.26,8-Jul,,36x96,lmw2163,Paid,CHECK EMAIL!
yw2566_04-05.pdf,YW2566,Completed,Heavyweight Bond,$24.00 ,26.13,8-Jul,,36x24 x2,lmw2163,,
ny2227 two 11x17 case study 2.pdf,NY2227,Completed,Heavyweight Bond,$12.00 ,13.07,8-Jul,,11X17 INCORRECT ROTATION,lmw2163,Paid,
RJS2202-BOARD 1-01.jpg; RJS2202-BOARD 2-01.jpg,RJS2202,Completed,Lightweight Bond,$16.00 ,17.42,8-Jul,,36x24 (x2),lmw2163,Paid,
faf2124.pdf,faf2124,Completed,"Satin ""Semi"" Gloss",$18.00 ,19.6,9-Jul,,,sbb2152,Paid,
nl2461 - intro collage.pdf,nl2461,Completed,Heavyweight Bond,$6.00 ,6.53,8-Jul,,,sbb2152,Paid,
ak2690_Cucumber flat.tif,ak2690,Completed,Lightweight Bond,$8.00 ,8.71,8-Jul,,,sbb2152,Paid,
cg2714_MIDTERMBOARD2.pdf,cg2714,Completed,Lightweight Bond,$16.00 ,17.42,8-Jul,,,sbb2152,Paid,
cg2714_MIDTERMBOARD1.pdf,cg2714,Completed,Lightweight Bond,$16.00 ,17.42,9-Jul,,36x48,sbb2152,Paid,
sjm2208_final.pdf,sjm2208,Completed,Heavyweight Bond,$18.00 ,19.6,10-Jul,10:14 AM,,sl3530,Paid,
cg2714_MIDTERMBOARD3low.pdf,cg2714,Completed,Lightweight Bond,$16.00 ,17.42,10-Jul,10:20 AM,,sl3530,Paid,
mk3576_midterm_pannel_001.pdf 002.pdf,mk3576,Completed,Mylar,$45.00 ,48.99,10-Jul,10:22 AM,,sl3530,Paid,
hy2371.pdf,hy2371,Completed,Lightweight Bond,$24.00 ,26.13,10-Jul,10:25 AM,13*19 (4),sl3530,Paid,
asg2205_pinupboardsMID2.pdf 2pages,asg2205,Completed,Heavyweight Bond,$18.00 ,19.6,10-Jul,10:31 AM,36*15/22,sl3530,Paid,
MOS2111_PLOT2.pdf,mos2111,Completed,Heavyweight Bond,$24.00 ,26.13,10-Jul,10:35 AM,36*48,sl3530,Paid,
myr2107_midterm.pdf,myr2107,Completed,Heavyweight Bond,$18.00 ,19.6,10-Jul,10:39 AM,,sl3530,Paid,
cy2348.pdf,cy2348,Completed,Heavyweight Bond,$24.00 ,26.13,10-Jul,10:40 AM,36*24 (2),sl3530,Paid,
MOS2111_PLOT3.pdf,mos2111,Completed,Heavyweight Bond,$24.00 ,26.13,10-Jul,10:47 AM,36*48,sl3530,Paid,
hrm 2117-PAGE 1.jpg (4pages),hrm2117,Completed,Heavyweight Bond,$24.00 ,26.13,10-Jul,11:17 AM,23.39*16.54 (4),sl3530,Paid,
el2717_midterm.pdf,el2717,Completed,Heavyweight Bond,$18.00 ,19.6,10-Jul,11:20 AM,24*36,sl3530,Paid,
jc4111_midterm.pdf,jc4111,Completed,Lightweight Bond,$12.00 ,13.07,10-Jul,12:57 PM,,sl3530,Paid,
kh2630.pdf,kh2630,Completed,Heavyweight Bond,$12.00 ,13.07,10-Jul,1:04 PM,,sl3530,Paid,
MOS2111_last2.pdf,mos2111,Completed,Heavyweight Bond,$24.00 ,26.13,10-Jul,,,scc2159,,
mos2111_again.pdf,mos2111,Completed,Heavyweight Bond,$24.00 ,26.13,10-Jul,,,scc2159,Paid,
Flat MapBOTTOM jg3406.pdf,jg3406,Completed,Heavyweight Bond,$36.00 ,39.2,10-Jul,,,scc2159,Paid,
Flat MapTOPjg3406_small.pdf,jg3406,Completed,Heavyweight Bond,$36.00 ,39.2,10-Jul,,,scc2159,Student Error,
mad2236_existing light.pdf,mad2236,Completed,Heavyweight Bond,$18.00 ,19.6,11-Jul,,"36""x34",scc2159,Paid,
nh2440 11x17 collage.pdf,nh2440,Completed,Heavyweight Bond,,13.07,11-Jul,,"11""x17""",scc2159,Paid,
nh2440 two 11x17 case study 1.pdf,nh2440,Completed,Heavyweight Bond,,13.07,11-Jul,,"17""x22""",scc2159,Unpaid,
nh2440 two 11x17 case study 2.pdf,nh2440,Completed,Heavyweight Bond,,13.07,11-Jul,,"17""x22""",scc2159,Paid,
nh2440_mylar 24in by 24in.pdf,nh2440,Completed,Mylar,,19.6,11-Jul,,"13""x19""",scc2159,Paid,
nh2440_ mylar2 24in by 24in.pdf,nh2440,Completed,Mylar,,29.4,11-Jul,,"24""x30""",scc2159,Paid,
tg2477-34x11.pdf,tg2477,Completed,Heavyweight Bond,,19.6,11-Jul,,"34""x11""",scc2159,Paid,
tg2477-34x24-Print1.pdf,tg2477,Completed,Heavyweight Bond,,19.6,11-Jul,,"34""x24""",scc2159,Paid,
nt2379 34x55 corn farm done.pdf,nt2379,Completed,Heavyweight Bond,,39.2,11-Jul,,"34""x55""",scc2159,Student Error,
nh2440_mylar3 24 by 24.pdf,nh2440,Completed,Mylar,,29.4,11-Jul,,"24""x30""",scc2159,Unpaid,
